pgpid,shelfmark,type,doc_date_original,doc_date_calendar,doc_date_standard
449,AIU VII.E.145,Legal document,1570,Seleucid,1259
463,BL OR 5535.1,Letter,19 Adar 1427,Seleucid,1116-03-05
472,T-S 20.169 + T-S 10J8.9 + BL OR 5542.6,Legal document,1337,Seleucid,1025-08-28/1026-09-14
499,Bodl. MS heb. a 2/9,Legal document,"Wednesday, 15 Kislev 1500",Seleucid,1188-12-07
502,Bodl. MS heb. a 3/24,Letter,Tevet 1548,Seleucid,1236-11-30/1236-12-28
506,Bodl. MS heb. a 3/42,Legal document,Elul 1428,Seleucid,1117-08-01/1117-08-29
516,Bodl. MS heb. b 11/3,Legal document,First decade of Ḥeshvan 1442,Seleucid,1130-10-06/1130-10-15
524,Bodl. MS heb. c 13/16,Legal document,"Thursday, 12 Sivan 4795",Anno Mundi,1035-05-22
525,Bodl. MS heb. c 13/12,Legal document,Shawwāl 425,Hijrī,1034-08-29/1034-09-07
537,Bodl. MS heb. c 28/16,Letter,Ḥeshvan 1453,Seleucid,1141
544,Bodl. MS heb. c 28/41,Legal document,"Sunday, 21 Kislev 1355",Seleucid,1043-11-26
561,Bodl. MS heb. d 65/30,Legal document,10 Nisan 4716,Anno Mundi,0956-03-24
562,Bodl. MS heb. d 65/4,Letter,15 Av 1346,Seleucid,1035-07-23
565,Bodl. MS heb. d 66/119 + T-S NS J404,Legal document,"Monday, 16 Tammuz 1540",Seleucid,1229-07-09
576,Bodl. MS heb. d 66/48 + Bodl. MS heb. d 66/47,Legal document,5 Kislev 1458,Seleucid,1146-11-11
577,Bodl. MS heb. d 66/50 + Bodl. MS heb. d 66/49,Legal document,1347,Seleucid,1035-09-06/1036-09-22
582,Bodl. MS heb. d 66/70,Legal document,"Thursday, 6 Adar 4996",Anno Mundi,1236-02-14
589,Bodl. MS heb. d 68/101,Legal document,20 Shevaṭ 1564,Seleucid,1253-01-21
591,Bodl. MS heb. d 74/41,Letter,"Sunday, 29 Tammuz 4898",Anno Mundi,1138-07-10
593,Bodl. MS heb. d 75/13,Letter,1 Sivan 1423,Seleucid,1112-05-28
595,Bodl. MS heb. d 75/24,Letter,1361,Seleucid,1049/1050
603,Bodl. MS heb. e 98/65 + Bodl. MS heb. e 98/64,List or table,4805/4806,Anno Mundi,1044-08-27/1045-09-13
613,Bodl. MS heb. f 56/59 + Bodl. MS heb. f 56/60 + Bodl. MS heb. f 56/61,List or table,Tishrei–Ṭevet 1495,Seleucid,1183/1184
637,Halper 331,Legal document,17 Tishri 1183,Seleucid,0871-10-06
658,ENA 2559.5,Letter,Ḥannuka 1548,Seleucid,1237
659,ENA 2559.3,List or table,Shevaṭ 1467,Seleucid,1155-12-26/1156-01-24
660,ENA 2560.3,Letter,22 Sivan 4974,Anno Mundi,1214-06-01
695,ENA 2805.14,Letter,"Friday, [25] Nisan [4810]",Anno Mundi,1050-04-20
703,ENA 2805.19,Letter,8 Elul (4)811,Anno Mundi,1051-08-18
727,ENA 2806.8,Letter,12 Heshvan 1424,Seleucid,1112-11-03
743,ENA 3765.5,Letter,Tevet 1363,Seleucid,1051-12
750,ENA 4007.5,Legal document,"Friday, 24 Ḥeshvan 4765",Anno Mundi,1004-11-10
753,ENA 4009.15,Letter,13 Av 1300,Seleucid,989-07-18
756,ENA 4010.1,Legal document,18 Iyyar 1386,Seleucid,1075-05-07
760,ENA 4010.28,Legal document,"Thursday, 11 Av 4783",Anno Mundi,1023-08-01
